chunk_id,pdf_stem,page_no,start_word,end_word,n_words,text_snippet
2015 II__c0003,2015 II,6,960,1303,343,"relation consists of 80 pages with 50 tuples per page, Works relation contains 200 pages with 100 tuples per page. Assume equal-size ficlds in each relation and uniform distribution for Works relation..."
2015 II__c0004,2015 II,,1280,1303,23,a tuple t in page P of relation R. (4 marks) -- End of the Question Paper -- Page 6 of 6 25/09/2015
2016__c0000,2016,2,0,400,400,"--- PAGE 2 --- 00340 Question 1 (20 marks) Consider the following schema of a database developed for an airport. Customer (customerld: integer, name: varchar (30), age: int, phone: char (10)) Reservat..."
2016__c0001,2016,3,320,720,400,its capacity there are no seats available in the flight (5 marks) c) Create a trigger that uses the function you have created in part b) i0 ensure that the number of passengers in a flight does not ex...
2016__c0002,2016,4,640,1040,400,a dirty bit (Dirty). [DIAGRAM: page_003_diagram_1.png] Assume that the following times states the last time the particular frame was accessed (on the same day): Frame number 0 at 12:15 pm Frame number...
2016__c0003,2016,6,960,1360,400,FROM Student WHERE gpa >3.7 Estimate the cost for the above query assuming there are no indexes on the Student table. (Reduction factor for gpa > 3.7 is 0.1) (1 mark) ii. Consider the following query:...
2016__c0004,2016,7,1280,1367,87,"wait approach. (3 marks) g) Consider the tree shown below. Describe the steps involved in exccuting each of the following operations according to the Simple Tree Locking Algorithm, in term of the orde..."
2016 II__c0000,2016 II,2,0,400,400,"--- PAGE 2 --- Question 1 (20 marks) Consider the following schema of a database developed for a university. Lecturer (lecturerld: integer, Iname: varchar (30), grade: varchar (20), salary: real, type..."
2016 II__c0001,2016 II,3,320,720,400,IDs of the lecturers who teach a course for the same qualification he has obtained. Hint: When a student completes a program he obtains that qualification (4 marks) b) Create a function that calculate...
2016 II__c0002,2016 II,4,640,1040,400,"data in the above disk are stored using the Next Block concept and what would be the time taken to read the entire student file from the disk. (3 marks) d) Explain with an aid of a diagram, the altern..."
2016 II__c0003,2016 II,5,960,1360,400,marks) ii. Illustrate the B+ tree after deleting 17 from the original tree. (3 marks) e) Consider the following extendible hash index. The hashing function considers the last 2 digits of the binary re...
2016 II__c0004,2016 II,6,1280,1509,229,explain the query plan you have considered. (3 marks) ii. Estimate the cost of executing the query using the plan and the index proposed above. (2 marks) Page 5 of 7 30/09/2016 --- PAGE 6 --- Question...
2017__c0000,2017,2,0,400,400,"--- PAGE 2 --- Question 1 (20 Marks) Consider the database of a bank that includes the following tables: BRANCH (branchNo: int, address: varchar (50), phone : char (10), manager: varchar(30)) ACCOUNT ..."
2017__c0001,2017,3,320,720,400,2016. (Hint: The branch with the highest total of deposits (credit) has the highest income). (4 marks) b) Write a procedure to transfer funds between two accounts given the account from which money is...
2017__c0002,2017,4,640,1040,400,string: 10001110 The RAID configuration consists of 5 disks (which includes the parity disk) as shown below. Assume that the block size is 2 bits and parity bit is set (=1) for an even number of 1 s. ...
2017__c0003,2017,6,960,1360,400,Question 4 (15 marks) a) Briefly explain the parsing and translation phase in query processing. (3 marks) b) Briefly explain the two techniques the Query optimizer uses to select the most efficient qu...
2017__c0004,2017,7,1280,1432,152,many database systems. Give two overheads of using them. (4 marks) d) Briefly explain the rules in Strict 2 Phase Locking Protocol. (3 marks) Page 6of 7 --- PAGE 7 --- e) Consider the transaction sche...
2017 II__c0000,2017 II,2,0,400,400,"--- PAGE 2 --- Question 1 (20 Marks) Consider the following relations in a database created for a taxi service Vehicle (vehiclelD : char(4), type : varchar(10), fielType: varchar(6), mileage: real) Dr..."
2017 II__c0001,2017 II,3,320,720,400,who had driven a Sedan for a total distance exceeding 5000km display the name of the driver and the total distance he had driven. (4 marks) iii.Find the ID and type of all vehicles which have been onl...
2017 II__c0002,2017 II,4,640,1040,400,"blocks P, Q and R respectively. Block P is in platter 1 track 100 Block Q is in platter 1 track 200 Block R is in platter 1 track 300 i. Assume Y revolution for average rotational delay, how much of t..."
2017 II__c0003,2017 II,5,960,1360,400,the following extendible hashing index. The hashing function considers the last 2 digits of the binary representation. > [DIAGRAM: page_004_diagram_2.png] Show the extendible hashed file after inserti...
2017 II__c0004,2017 II,7,1280,1417,137,explain the term Deadlock associates with schedules in DBMS. (2 marks) Briefly explain the wound-wait algorithm used for deadlock prevention. (2 marks) 2 Consider the following part of the schedule. [...
2018__c0000,2018,2,0,400,400,--- PAGE 2 --- Question 1 (20 marks) Convert the following EER model in to the relational model. Indicate the primary keys and the foreign keys of the resulted relations clearly. <> [DIAGRAM: page_002...
2018__c0001,2018,,320,720,400,"date, requiredDate: date, shippedDate: date) OrderDetails (oid: int, productld: char (4), quantity: int, discount: real Products (productld: int,productName: varchar(15),UnitPrice: real unitsInStock: ..."
2018__c0002,2018,,640,751,111,and the discount. Note that the cost of the order is the total of costs for each product ordered where cost for each product ordered is obtained by the multiplication between unit price of the product...
2018 II__c0000,2018 II,2,0,400,400,--- PAGE 2 --- Question 1 (20 marks) Convert the following EER model in to the relational model. Indicate the primary keys and the foreign keys of the resulted relations clearly. [DIAGRAM: page_002_di...
2018 II__c0001,2018 II,4,320,720,400,for books returned late than they are to be returned. (4 marks) c) Find the names of members who had rented both books and CDs. . (5 marks) d) Find the names and the phone numbers of members who have ...
2018 II__c0002,2018 II,,640,858,218,names of products which are always sold with a profit margin. Note that the items sold with a profit margin have a unit price for a product greater than the price it is purchased at. (5 marks) iii. Fi...
2019__c0000,2019,2,0,400,400,--- PAGE 2 --- 00027 Question 1 (20 marks) Convert the following EER model in to the relational model.Indicate the primary keys and the foreign keys of the resulted relations clearly. ISA Constraints:...
2019__c0001,2019,4,320,720,400,(5 marks) d) List the prescription IDs which contain both Vitamin C and Aspirin as trade name. (5 marks) e) List the trade name of medicines that appears in the most of the prescriptions. (9 marks) Pa...
2019__c0002,2019,,640,781,141,"in the movie The Princess Bride . (5 marks) ii. Display all directors who directed 500 movies or more, in descending order of the number of movies they directed. List the directors' names and the numb..."
2019 II__c0000,2019 II,2,0,400,400,--- PAGE 2 --- / / Question 1 (20 marks) Convert the following EER model in to the relational model. Indicate the primary keys and the foreign keys of the resulted relations clearly. [DIAGRAM: page_00...
2019 II__c0001,2019 II,4,320,720,400,"number of authors. (9 marks) Page 3 of 4 --- PAGE 4 --- Question 4 (40 Marks) Consider the following relations in a database created for a university. Module (mCode: char(6) , mName: varchar (50), cre..."
2019 II__c0002,2019 II,,640,786,146,"(5 marks) ii. Display the hall id and the floor number of halls which are vacant on Monday in Engineering Building. (6 marks) b) Create a view named ClassDetails that contains class id, module name, y..."
2023__c0000,2023,2,0,400,400,--- PAGE 2 --- Question 1 (20 marks) Consider the following EER Model. a) Convert the following EER model into the relational model. Indicate the primary keys and the foreign keys of the resulted rela...
2023__c0001,2023,,320,720,400,--- Raj and Eva are junior database administrators who work under Linda s supervision. They are responsible for managing and maintaining specific databases within the healthcare IT system. Raj takes c...
2023__c0002,2023,5,640,934,294,"ID, first name, last name, phone number, email address, and physical address. The ""Room"" table tracks details about the hotel's rooms. It includes information such as the room number, room type, bed t..."
2023 II__c0000,2023 II,2,0,400,400,--- PAGE 2 --- Question 1 (20 marks) Consider the following EER Model. a) Convert the following EER model in to the relational model. Indicate the primary keys and the (16 marks) foreign keys of the r...
2023 II__c0001,2023 II,4,320,720,400,"Menaka creates the required database and assign Nipun --- PAGE 4 --- the responsibility of managing the CompanyDB. Since there will be lot of users for the project, Amali is assigned with the responsi..."
2023 II__c0002,2023 II,5,640,1040,400,"date of birth (dob), specialization and GPA. The Courses table stores information about each course offered by the university, including the course ID (courseld) name, and credits. The offer table sto..."
2023 II__c0003,2023 II,,960,1042,82,semester and year. (11 marks) GPA= Y grade point of a grade obtained for a module x credit point for the module . credit points of modules taken ) Create a trigger to set the grade of basis pro-rata o...
2024__c0000,2024,2,0,400,400,--- PAGE 2 --- Question 1 (20 marks) Consider the following EER Model. a) Convert the following EER model into the relational model. Indicate the primary keys and the foreign keys of the resulting rel...
2024__c0001,2024,5,320,720,400,"Sarah's supervision. Tom manages the client accounts database, while Emily handles the transactions database. Nathan is a database developer reporting to Tom and Emily. His responsibilities include de..."
2024__c0002,2024,,640,892,252,"book and member. It records the loan date, due date, and return date. The 'Fine' table stores information about fines incurred by members for late returns or other penalties. It includes a fine ID, me..."
2024 II__c0000,2024 II,2,0,400,400,--- PAGE 2 --- 00048 Question 1 (20 Marks) The Computer Science Students at SLIIT are planning to design a database to produce music albums. The students have come up with the following requirements. ...
2024 II__c0001,2024 II,3,320,720,400,that you have identified. (3 Marks) ) s there a recursive relationship? Justify your answer. (2 Marks) d) Is there any weak entity type? Justify your answer. (2 Marks) ) Identify a likely superclass/s...
2024 II__c0002,2024 II,4,640,1040,400,functional dependency FD4 A O is given. i. Are the 3NF relations derived in part (e) still in 3NF? Justify your answer. (2 Marks) ii. Are the 3NF relations derived in part (e) in BCNF? If not bring th...
2024 II__c0003,2024 II,6,960,1360,400,--- 00048 [DIAGRAM: page_005_diagram_1.png] Question 4 . (20 Marks) Consider the following relational database schema containing airline flight information. Here the passenger relation gives the detai...
2024 II__c0004,2024 II,,1280,1419,139,"takes to find a record by doing a linear search on the file if A. the file blocks are stored contiguously, and double buffering is used; B. the file blocks are not stored contiguously. (4 Marks) iv. A..."
