question,label
How do you build a functional humanoid robot for assistance in healthcare settings?,hard
How to calculate simple and compound interest?,easy
"Explain the importance of schema refinement in database management systems, with a focus on identifying data duplication and potential issues during insert, update, and delete operations.

Provide a real-world scenario from a university database where schema refinement is crucial for efficient data management. Identify instances where data redundancy exists and explain how it can lead to anomalies during data manipulation processes.",medium
Outline the main steps of a problem-solving process in medicine.,medium
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,medium
Can you break down the elements of a logical fallacy?,medium
Model the behavior of a population in response to environmental changes.,medium
Propose strategies for optimizing network performance in a cloud computing environment and evaluate their impact on scalability and reliability.,medium
"Design the adjustable voltage regulator for the following specification output voltage = 5V â 10V I0 = 1.2 A, Iadj = 100ï­A, R1 = 240ïï®",medium
What does it feel like to experience a thunderstorm? Please describe.,easy
"Question:
Discuss the process of data manipulation in a database management system, focusing on the operations of deleting and updating rows. Provide a real-world scenario from a university database where these operations would be applicable. Include examples to illustrate each operation.",medium
Can you distinguish aged rums from unaged rums by smell,medium
"Propose innovative solutions for optimizing energy efficiency in HVAC (heating, ventilation, and air conditioning) systems for buildings.",medium
Define PDF and CDF.,easy
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,medium
Elaborate THREE (3) channels of the transmission process for monetary policy. ,easy
Paraphrase the scientific principle.,easy
Debate the ethical considerations of using AI algorithms for autonomous weapon systems.,hard
How might old storytelling methods be combined to create a novel narrative structure?,hard
Which are the factor that affect on the output of the voltage regulator?,easy
Describe what hydraulic engineering is in your own words showing concrete examples. ,easy
Formulate an algorithm for automatically generating synthetic training data to augment limited datasets for training deep learning models.,hard
Describe the principles of market economy and supply-demand dynamics.,easy
The armature resistance of a DC shunt motor is 5.,medium
Explain in brief what is Lissajous pattern?,easy
Differentiate PAL and PLA.,medium
What is congestion Control?,easy
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",medium
Translate your understanding of sociology to analyze this social phenomenon.,easy
Explain the factors affecting the concrete mix design.,easy
Explain V oltage Controlled Oscillator 566 and write its applications.,easy
Solve a hypothetical scenario involving a ransomware attack on a critical infrastructure system and propose strategies for recovery and prevention.,medium
Can you group by characteristics such as . . .?,medium
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,easy
Modify the parameters of the simulation to explore various scenarios.,medium
"Question:
Consider the following scenario in an e-commerce database system:

You are tasked with creating a stored procedure to generate statistics on salary (minimum and maximum) for a specific department. The procedure should take the department ID as input and return the maximum and minimum salaries as output parameters.

a) Define a stored procedure named `get_stats` that takes the department ID (`@did`) as a parameter and outputs the maximum salary (`@maxm`) and minimum salary (`@minm`).

b) Explain the steps involved in creating the stored procedure `get_stats` as described in the scenario.

c) Provide an example of how the stored procedure `get_stats` can be called to retrieve salary statistics for a given department in the e-commerce database system.",hard
Explain the concept of a chasm trap in the context of a relational database model. Provide a real-world scenario to illustrate this concept and discuss the factors that may lead to the occurrence of a chasm trap.,medium
Explain why it is important for the width of the base quasineutral region to be small compared to the minority carrier diffusion length in the operation of a BJT.,easy
What can you identify as the primary causes of climate change?,easy
"Question:
Consider the scenario of managing information about individuals within a university database. Discuss the storage of information for the following types of individuals within the context of ISA mapping in a relational database model:

a) Describe how information would be stored for a person who is neither a student nor a faculty member, illustrating the partial ISA relationship with relevant attributes.
b) Explain the storage approach for a person who is solely a student but not a faculty member, demonstrating the disjoint ISA relationship with necessary attributes.
c) Outline the storage strategy for a person who is both a student and a faculty member, showcasing the overlapping classes in the ISA relationship with appropriate attributes.",medium
Quote a line from a song that resonates with you.,easy
What research questions would you formulate for an economics study on income inequality?,hard
How do you make a reasoned argument for choosing a particular exercise routine?,hard
Identify the characteristics of a culvert in hydraulic engineering?,easy
"Question:
Consider a scenario where a university database system is being designed to manage student information. 

a) Define the concept of normalization in the context of database management systems. Provide examples to illustrate the different normal forms.
b) Explain the process of denormalization in databases. Discuss the potential advantages and disadvantages of denormalization in the university database scenario.
c) Compare and contrast the benefits and drawbacks of using a relational database management system (RDBMS) versus a NoSQL database for storing and managing student data in the university database system.",medium
"Question:
In the context of a hotel booking system, consider the scenario where a university database is used to store information about guests and their bookings. 

a) Calculate the total amount spent by guests with the last name 'Smith' on their bookings.",medium
Criticize the generalization capability of a deep learning model trained on biased datasets.,hard
Let's discuss the ethical considerations of artificial intelligence in warfare.,easy
Compare the various types of retaining structures in terms of their stability and construction cost.,easy
Derive the torque equation of dynamometer type wattmeter. Explain the errors and its compensation in dynamometer type wattmeter.,easy
"Question:
Consider a scenario where you are working as a database administrator for an e-commerce company. 

a) Using the attribute closure method, identify and explain how to find all the keys in relation R within the e-commerce database. 

b) Provide a step-by-step explanation of the process involved in determining the keys using the attribute closure method in the context of the e-commerce database.",medium
Judge the effectiveness of interference mitigation techniques in improving the quality of service (QoS) in wireless communication networks.,hard
Determine capacitance per phase per km of three phase transmission line when conductors are arranged in horizontal plane and 4 meter apart.,medium
What are the different algorithms and techniques used in managing cache memory.,easy
Can you recall the characteristics of different types of clouds?,easy
Define concrete mix design.,easy
"You are designing a fiber optic communication network for transmitting high-speed data over long distances. Analyze the factors that affect the performance of fiber optic cables (e.g., attenuation, dispersion, bandwidth) and recommend solutions for optimizing signal transmission in the network.",medium
Briefly explain what a Repo is. ,easy
Explain the function of a shift register.,easy
What is Backface?,easy
Compare and contrast traditional learning and online learning.,easy
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,easy
"Question:
Consider a university database where relation R represents student information. 

a) Using the attribute closure method, determine all the keys in relation R. Provide a step-by-step explanation of how the attribute closure method is applied to find keys in a relation.",medium
Explain how Binary space partition algorithm is used to remove hidden surfaces.,easy
Compare the various types of materials used in mechanical engineering in terms of their mechanical properties and applications.,easy
udge aesthetic qualities and relationship to future values.,hard
Differentiate between Virtual Instruments and traditional instruments.,medium
Explain in brief a manufacturing process of urea from ammonium carbamate.,easy
Demonstrate the steps of a chemical reaction through a laboratory experiment.,medium
"Explain the concept of noise in communication systems, discussing its sources and mitigation techniques.",easy
"**Question:**

Explain the usage of comparison operators with SOME, ANY, and ALL in the context of a database management system. Provide examples to illustrate each case.

**Scenario:**
Consider a university database system where student grades are stored. The database administrator wants to retrieve information about students who have scored at least one grade higher than 90, as well as students who have scored the highest grade in all their courses.

**Instructions:**
a) Define the purpose of SOME and ANY operators in SQL when used with comparison operators.
b) Explain the functionality of the ALL operator in SQL when used with comparison operators.
c) Provide SQL query examples for each case to demonstrate the application of SOME, ANY, and ALL operators in a database query.",medium
Tell me about the benefits of meditation.,easy
Your team is tasked with designing a cooling system for an electric vehicle battery pack to maintain optimal operating temperatures. Compare the effectiveness of using air cooling versus liquid cooling systems in dissipating heat from the battery cells while minimizing energy consumption and system weight.,medium
Can you invent a new method for utilizing kinetic energy from moving vehicles?,hard
A pressure vessel is required to have a capacity of 20 m 3.,medium
Recognize the purpose of a geotechnical investigation in foundation design?,easy
Stock market serves as an important predictor of economic activities. Explain how the stock market values can predict real economic activity. ,easy
Describe the sensation of anger.,easy
Differentiate between transmission and distribution system.,medium
"Question:
Explain the usage of the BETWEEN operator in SQL to filter data within a specified range. Provide an example query and its result. 

Scenario:
In a university database, the registrar's office wants to identify students who are eligible for the Dean's List based on their GPA range. 

a) Define the BETWEEN operator in SQL and explain its functionality.
b) Provide an SQL query to retrieve the student IDs of those who have a GPA between 3.7 and 4.0.
c) Present the output of the query showing the student IDs meeting the specified GPA range.",medium
Compare the various types of water distribution systems in terms of their efficiency and reliability.,easy
State and explain the physical significance for following properties for CT signals.,easy
"Question:
Explain the concept of using variables in T-SQL scripts. Provide a real-world scenario where declared variables are utilized. Illustrate with an example how variables can be declared and used in a SQL script.",easy
Discuss in detail fragmentation in terms of IPv4.,medium
Explain the process of registering database drivers in a Java program. Provide a real-world scenario where this process would be utilized and outline the steps involved.,medium
Derive the condition for maximum starting torque of 3 phase induction motors with usual notations.,medium
Discuss insulating materials used for transmission line.,easy
Can you paraphrase what was just said?,easy
Devise a system for automatically detecting and mitigating jamming attacks in wireless sensor networks deployed in hostile environments.,hard
"Question:
Consider the following scenario in a university database: 

Given the table containing student information and module enrollment as shown below:

| SID  | CID  | Grade |
|------|------|-------|
| 1000 | DBII | A     |
| 1000 | SEI  | B     |
| 1001 | DBII | A     |
| 1002 | DBII | C     |
| 1002 | SPD  | C     |

a) Using the provided data, write a SQL query to count the number of students who have enrolled in each module.

b) Provide the output of the query showing the module IDs and the corresponding count of students enrolled in each module.",medium
"Explain the importance of schema refinement in Database Management Systems, focusing on the loss-less join property and dependency preserving property.

a) Define the loss-less join property in the context of schema refinement. Provide a real-world scenario from an e-commerce platform where the loss-less join property is essential for data integrity.

b) Describe the dependency preserving property and its significance in enforcing constraints on the original relation by applying constraints on smaller relations. Use an example from a hospital system to illustrate the dependency preserving property in practice.",medium
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,easy
Critique the usability of a mobile application interface and propose improvements based on user feedback and ergonomic principles.,hard
Explain properties of insulating materials which are used in line insulator.,easy
Infer the factors contributing to the decline in student performance.,easy
"A data analytics company is considering the use of federated learning techniques for collaborative model training across distributed data sources. Evaluate the privacy implications of federated learning compared to centralized model training approaches, including data privacy, model security, and regulatory compliance. Recommend privacy-preserving techniques and governance frameworks to ensure data protection in federated learning environments.",hard
"Compare the different types of VPN (virtual private network) technologies (e.g., IPSec, SSL VPN, MPLS VPN) in terms of their security and performance.",easy
Imagine you are developing a video streaming platform. Describe how you would apply adaptive bitrate streaming techniques to optimize video playback quality based on users' network conditions and device capabilities.,medium
How would you develop an e-commerce platform with integrated payment gateways?,hard
Explain file opening modes in detail.,easy
What is Plate linearization curve and its requirement in prepress?,easy
Explain the principle of autoclaving with its applications.,medium
What do you mean by triangulation and trilateration in geodetic survey?,easy
Calculate the atomic packaging factor for FCC and HCP crystal structure.,medium
Compare and contrast continuous and discontinuous replications. ,medium
Explain the field application of compaction test result and how to control Field compaction.,easy
What are the problems in RIP?,easy
State characteristics and uses of contour lines.,easy
"Question:
Explain the process of data manipulation language (DML) operations in a relational database system with a focus on deleting and updating rows. Provide a real-world scenario from a university database where these operations are commonly used. 

a) Describe the steps involved in deleting a row from a table in a relational database.
b) Outline the procedure for updating a row in a table using DML commands.
c) Discuss the importance of maintaining data integrity when performing deletion and update operations in a database system.",medium
"A social media platform is facing criticism for its content moderation policies and handling of misinformation. Evaluate the platform's current content moderation practices, including algorithmic filtering, user reporting mechanisms, and community guidelines enforcement. Propose improvements to enhance transparency, fairness, and accountability in content moderation decisions.",hard
Convert the following infix expressions to prefix  expressions using stack data structure.,medium
Critically analyze the challenges and benefits of implementing robotics and automation in the construction industry.,medium
Propose creative solutions for reducing construction waste and promoting recycling in the construction industry.,medium
"Count Enable and E=0, Count Disable. OR Q6) a) Design a sequence detector to detect a sequence 1101 using D FF",medium
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",easy
Tabulate the results of a recent survey on environmental awareness.,easy
Explain the functional advantages provided by enzymes with a quaternary structure. ,easy
"Question:
Explain the usage of the LIKE operator in SQL for pattern matching. Provide an example scenario and query to demonstrate its application.

Scenario:
In a university database system, the administration wants to retrieve information about students whose names start with a specific letter using the LIKE operator.

Query:
a) Write an SQL query to find students whose names start with the letter 'A' from the 'student' table.
b) Explain the significance of the '%' and '_' symbols in the LIKE pattern.
c) Discuss how the LIKE operator can be used for more complex pattern matching scenarios in database queries.",medium
Calculate first four moments about the mean of the following distribution.,medium
Discriminate between varying perspectives on the effects of globalization.,hard
Calculate the market demand and market supply in table form. ,medium
"Explain the process of creating a JDBC application for database programming. Provide a step-by-step guide on how to set up a JDBC application, including importing packages, loading the driver, opening a connection, executing a query, extracting data from a result set, and cleaning up the environment. Additionally, illustrate each step with a real-world scenario from a university database system.",hard
Group these elements based on their shared physical properties.,easy
Debate the ethical implications of using 3D printing technology for rapid prototyping and construction in civil engineering.,hard
"Compare the various types of modulation index in amplitude modulation (AM), frequency modulation (FM), and phase modulation (PM).",easy
"Invent a new method for improving the accuracy and reliability of indoor positioning systems using a combination of Wi-Fi, Bluetooth, and inertial sensors.",hard
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run. ,easy
"Question:
Consider the following relation:

ENAME SSN BDATE ADD DNUM DNAME DMGR EMP_DEPT FD1 FD2

a) Identify the normal form of the given relation. Explain your reasoning.

b) If the relation is not in 3NF, normalize it to 3NF. Provide the normalized form of the relation.

Scenario:
In a university database, the above relation represents employee information within the university administration system. The attributes include employee name, social security number, birth date, address, department number, department name, department manager, employee department, and additional functional dependencies.

Format the relation into 3NF if necessary.",medium
Explain the representation of polynomial using GLL.,medium
Write a short note on Performance parameters of ADC.,easy
Can you recall the steps to solve a quadratic equation?,easy
How would you use linguistic concepts to analyze the evolution of language in different cultures?,medium
Explain the concept of executing queries using prepared statements in JDBC. Provide a real-world scenario where prepared statements would be beneficial and describe the process involved in using prepared statements.,easy
Use fourier transform to solve.,medium
Derive an equation for finding of angular velocity and angular acceleration of connecting rod by using analytical method.,medium
"Question:
Explain the use of the IN operator in SQL with a real-world scenario. Provide an example to illustrate its functionality.

Scenario:
In a university database system, the IN operator is utilized to retrieve information about students who have achieved a specific grade in a particular course.

Example:
Consider the following tables in the university database:

Student Table:
```
SID   Name     GPA
1000  Amal     3.2
1001  Nimali   2.8
1002  Aruni    3.8
```

Grades Table:
```
SID   CID    Grade
1000  IT102  A
1000  IT100  B
1001  IT102  A
1002  IT102  C
1002  IT200  C
```

Write an SQL query to find the names of students who have obtained a grade 'A' in any course.",medium
Discuss the regulation of ATCase which is an allosteric enzyme. ,easy
Explain FOUR (4) major forces which move water into wall claddings and measures to be taken to eliminate these problems. You are required to include illustrations in your explanation. ,easy
What are extrusive and instrusive Igneous bodies?,easy
Summarize the key points of the presentation.,hard
Explain various features of the 8051 Microcontroller.,easy
Solve the calculus problem involving finding the area between curves.,medium
"Contrast the principles of imperative programming with those of functional reactive programming (FRP), assessing their applicability in developing responsive user interfaces.",medium
What associations are there with the concept of leadership?,easy
"How can we construct H given I, B and E?",medium
Explain with sketch any one technique of Ceramic matrix composite processing.,medium
How would you relate position concept with position strategy,medium
Define hardenability?,easy
Calculate the average holding and setup cost per year. ,medium
How do you build a functional underwater exploration vehicle?,hard
Support your stance on the benefits of renewable energy.,hard
Devise a system for managing and recycling organic waste in urban areas to produce compost and bioenergy while reducing greenhouse gas emissions.,hard
List out the properties of continuous time Fourier Transform.,easy
What is Remote sensing?,easy
"**Question:**

Explain the importance of schema refinement in database management systems. Provide a real-world scenario where data duplication and anomalies can occur during insert, update, and delete operations.

**Scenario:**
Consider a university database system where student information is stored in a table. The table contains columns for student ID, name, course, and department. Anomalies and data duplication may arise when new students are added, existing student information is updated, or students are removed from the system.

**Sub-parts:**

a) Identify and explain the potential issues that can occur due to data duplication in the university database scenario.

b) Discuss how schema refinement can help mitigate these issues and improve the efficiency of insert, update, and delete operations in the database.

c) Provide examples of specific SQL queries or commands that can be used to refine the schema and prevent data duplication in the university database system.",medium
"Question:
Explain the process of data manipulation using DELETE and UPDATE commands in a relational database management system (RDBMS). Provide a real-world scenario from a university database where these commands could be applied. 

a) Describe the steps involved in deleting a row from a table using the DELETE command.
b) Outline the process of updating a row in a table using the UPDATE command.
c) Discuss the importance of using WHERE clause in these commands to specify the conditions for deletion and updating.",medium
With the help of torque speed characteristics explain effect of addition of external resistance in rotor circuit of 3 phase slipring induction motor.,easy
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,easy
Describe in brief process description of manufacture of Olefin by polymerization using phosphoric acid on solid carrier as catalyst.,medium
"Evaluate the efficiency of various data structures (e.g., arrays, linked lists, trees) in terms of memory usage and access time for different operations.",medium
Explain the activities involved in the building process. ,easy
Grade the essay based on the rubric provided.,hard
Can you order these scientific observations to establish a causal relationship?,easy
"Determine the range of output voltage for adjustable voltage regulator LM317 for R1 = 240ï, R2 = 4.7 kï Assume Iadj = 100 ï­A.",medium
"Question:
Explain the three main objectives to consider while designing a secure database application, namely secrecy, integrity, and availability. Provide a real-world scenario from a university database system for each objective and explain how it aligns with the concept.

a) Define the concept of secrecy in database security and provide an example scenario from a university database system.
b) Describe the importance of integrity in database security and outline steps to ensure data integrity within a university database system.
c) Explain the significance of availability in database security and illustrate with a scenario from a university database system how ensuring availability is crucial for authorized users.",medium
"Scenario: Hospital patient management system

Enhanced question: In a hospital patient management system, a stored procedure named `insertvalues` is used to add a new patient record into the database. The code segment provided uses a specific type of statement to execute this stored procedure. Identify the type of statement used in the code and explain when this type of statement would be utilized in a hospital setting.",medium
"Explain the concept of multipath propagation in wireless communication, discussing its impact on signal reception and diversity techniques.",easy
Assess the scalability of a content delivery network (CDN) for delivering multimedia content to a global audience.,hard
"Using Stoke's theorem, evaluate :",medium
Critique the performance of wind energy systems in providing renewable energy for off-grid communities.,hard
When do designers think in shapes and signs.,medium
Describe the features of lactate dehydrogenase (LDH) as an isozyme. Discuss the diagnostic importance of LDH.,easy
Explain the growth of boundary layer over a thin flat plate held parallel to the direction of flow in a real fluid.,easy
Describe the sensation of surprise.,easy
Recognize the differences between baseband and passband signals in modulation?,easy
A pipe line carrying water has average height of irregularities projecting from the surface of the boundary of the pipe as 0.,hard
Apply Stoke âs theorem to evaluate F cdrïï²  where Fyzi zxj xykï½ï«ï«  and S is upper part of sphere 22 21 xyzï«ï«ï½  above XOY plane.,medium
Find the greatest length of a mild steel rod 25 mm X 25 mm which can be used as a compression member with one end fixed and the other endfree to carry a working load of 35 kN.,medium
A three hinged parabolic arch having supports at different levels as shown in figure 6.,medium
"A telecommunications company is evaluating the security measures of its 5G network infrastructure against potential cyber threats. Critically assess the effectiveness of current security protocols, including encryption standards, authentication mechanisms, and intrusion detection systems. Propose enhancements to strengthen network security and protect against emerging threats such as ransomware and DDoS attacks.",hard
Give TWO functions of egg yolks in mayonnaise production. ,easy
Tell me about your favorite vacation.,easy
Outline your experience in working with service users,easy
Igneous rock can be formed either underground or above ground. Elaborate. ,easy
What factors would you change if . . .?,medium
Define covering constraint in the context of class hierarchies. Provide an example scenario from a university database where covering constraint is applicable.,easy
Name the food groups and at least two items of food in each group.,easy
"Consider the following page reference string 1, 2, 3, 1, 4, 5, 6, 2, 1, 3, 2,7, 6, 3, 4, 1, 2, 6 Number of page frame =6. Calculate Page fault andHit ratio using LRU page replacement algorthm.",medium
Define Draft tube.,easy
Assess the impact of climate change on ecosystems.,hard
An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts. ,hard
"Question:
Explain how attribute closure can be computed using Armstrong Axioms in the context of a university database. Provide an example scenario to illustrate the concept.

a) Define the Reflexivity rule in Armstrong Axioms and demonstrate its application in determining attribute closure within the university database scenario.
b) Describe the Augmentation rule in Armstrong Axioms and explain how it contributes to computing attribute closure in the university database context.
c) Discuss the Transitivity rule in Armstrong Axioms and its significance in deriving attribute closure within the university database system.",medium
Explain STEP with scope and Architecture.,easy
"Question:
Consider the following scenario: In a university database system, you are tasked with creating a stored procedure to output statistics of salary (minimum and maximum) for a given department. The database schema includes tables for departments (dept), employees (emp), and works (works) linking employees to departments.

a) Define a stored procedure named `get_stats` that takes a department ID (`@did`) as input and outputs the maximum salary (`@maxm`) and minimum salary (`@minm`) for that department.

b) Explain the process involved in creating and executing the `get_stats` stored procedure in a database management system. Include the necessary SQL syntax and steps to define, call, and retrieve the statistics.

c) Discuss the advantages of using stored procedures for generating departmental salary statistics compared to ad-hoc SQL queries. Provide at least two reasons with examples to support your explanation.",medium
Judge the efficiency of a power control algorithm in optimizing transmit power levels for minimizing interference in wireless networks.,hard
Can you show me how to use a software program you're familiar with?,easy
What associations are there with the idea of justice?,easy
Compare the different types of web application firewalls (WAFs) in terms of their detection capabilities and deployment options.,easy
Argue for or against capital punishment.,hard
Compare the political ideologies of two parties and contrast their policy proposals.,easy
"Question:
Explain the concept of using variables in T-SQL scripts. Provide a real-world scenario where declared variables are utilized in a database query. Illustrate the process with an example.

---

Scenario:
In a university database system, the administration needs to retrieve the total budget allocated to a specific department based on the department name provided by the user.

---

Process:
a) Define the purpose of using variables in T-SQL scripts.
b) Provide an example query using declared variables to retrieve information from the database.
c) Explain the steps involved in assigning and utilizing variables in T-SQL scripts.",hard
"Question:
Consider a scenario in a university database where a relation R (A, B, C, D, E) has the following set of functional dependencies: {A → B, A → C, CD → E, B → D, E → A}. 

a) Compute the keys for relation R.",medium
"Question: 
Consider a university database where courses are offered to different specializations. 

a) Find the course IDs and names of modules offered in year 2 semester 1 that are available to more than one specialization. 
b) Explain the SQL query you would use to retrieve this information. 

Provide a real-world scenario where this information could be useful in ensuring that course offerings cater to the diverse needs of students pursuing multiple specializations.",medium
Explain what is a datum level as used in site surveying for a building project. ,easy
Use regression analysis to determine the relationship between sales and advertising expenditure.,medium
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,easy
"**Question:**

Explain the use of comparison operators with SOME, ANY, and ALL in the context of a database query. Provide a real-world scenario where these operators could be applied and explain their significance.

**Scenario:**
Consider a university database where the admissions department needs to retrieve information about students based on their exam scores.

**a)** Define the purpose of comparison operators SOME and ANY when used in a database query.

**b)** Describe the function of the ALL operator in a database query and how it differs from SOME and ANY.

**c)** Provide an example query using SOME, ANY, or ALL operators in the university database scenario to illustrate their practical application.",medium
"Question:
Explain the importance of a security policy and access controls in a Database Management System (DBMS). Provide a real-world scenario from a hospital system where implementing security policies and access controls are crucial for protecting sensitive patient information.

a) Define discretionary access control and provide an example of how it can be implemented in a university database.
b) Define mandatory access control and explain its significance in a banking system.
c) Compare and contrast discretionary access control and mandatory access control in terms of their implementation and level of control over data access.",medium
Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond. ,easy
How would you classify the different types of animal behaviors?,medium
What is Hashing?,easy
The screw of a shaft straightener exerts a load of 30 kN as shown in Fig.,medium
Differentiate between static and dynamic memory allocation.,medium
Find the reverse bias saturation current. ,easy
Solve a chemistry problem involving calculating the concentration of a solution.,medium
Describe material gathering process. ,easy
Summarize the main arguments of an academic paper.,hard
What is Biomass?,easy
"Find angle between the normal to the surface xy = z2 at (1,4,2) and (â3,â3,3).",medium
How do you build a structurally sound bridge?,hard
What are the salient features of vegetable market building?,easy
Define Second Normal Form (2NF) in the context of database management systems. Provide a real-world scenario from a university database where the concept of 2NF would be applicable.,easy
State the following properties of CTFT.,easy
Compare the leadership styles of two prominent figures and contrast their effectiveness.,easy
Examine the historical records to analyze the impact of a historical event.,medium
What are the mathematical operations that can be performed on SET Abstract Data Type?,easy
Generate solutions for promoting renewable energy adoption.,hard
"Consider the following question:

**Question:**
In a university database system, given the schema and data below, write a SQL query to find the name of IT students who have a GPA greater than all Business Management (BM) students. 

```
StudentID | Name   | GPA | ProgID
----------------------------------
1000      | Amal   | 3.2 | BM
1001      | Nimali | 2.8 | IT
1002      | Aruni  | 3.8 | SE
1003      | Surani | 2.5 | BM
1004      | Imali  | 4.0 | IT
```

**Scenario:**
In a university setting, the administration wants to identify top-performing Information Technology (IT) students based on their GPA compared to Business Management (BM) students. This information is crucial for awarding scholarships and recognizing academic excellence.

**Query:**
```sql
SELECT s.Name
FROM student s
WHERE s.progID = 'IT' AND s.gpa > ALL (SELECT s1.gpa FROM student s1 WHERE s1.progId = 'BM');
```",medium
How can you use knowledge from psychology and design to create user-friendly interfaces?,hard
What is Clausius inequality?,easy
"Your organization is developing a noise control system for reducing environmental noise pollution in urban areas. Compare the effectiveness of using passive noise control measures (e.g., sound barriers, acoustic panels) versus active noise control techniques (e.g., adaptive noise cancellation, noise masking) for mitigating noise impacts on nearby residents.",medium
Recite a policy of immigration in Europe .,easy
Recall the principles of classical conditioning in psychology.,easy
Define and explain the concept of ISA Mapping in the context of database management systems. Provide a real-world scenario from a university database where ISA Mapping can be applied and explain its significance.,easy
"Consider the following scenario: In a university database system, there is a need to store information about different individuals who may have varying roles within the institution. 

a) Define and explain how you would store information for the following types of individuals:
i) A person who is neither a student nor a faculty member (partial ISA relationship)
ii) A person who is a student but not a faculty member (disjoint ISA relationship)
iii) A person who is both a student and a faculty member (overlapping classes in ISA relationship)

Provide examples to illustrate each scenario.",medium
A single acting reciprocating air compressor has cylinder diameter and stroke of 200 mm and 300 mm respectively.,medium
What is necessity of cooling the I.,easy
Describe the Pareto Principle in statistical software quality assurance.,easy
"Explain the architecture of JDBC and the roles of its components in a real-world scenario.

a) Define the components of the JDBC architecture and their functions.
b) Provide an example scenario from an e-commerce platform where JDBC is utilized.
c) Explain the interaction between the Java application, JDBC Driver Manager, and RDBMS in the context of the provided scenario.",medium
"Name the amino acid residues with the single letter code ""EQRNHL"". ",easy
"Evaluate the security risks associated with different mobile device management (MDM) solutions (e.g., device encryption, remote wipe, containerization) in BYOD environments.",medium
What are the methods used to handle Deadlocks.,easy
