question,label
Describe in your own words what happens when a stream's velocity slows.,easy
Describe in your own words what is meant by a sprained ankle.,easy
Describe nuclear transport to a lay person.,easy
Describe the Pareto Principle in statistical software quality assurance.,easy
Describe what goes in each of the four areas on the first page of notes,easy
Describe what took place as the Hato was sinking.,easy
Describe how the linear polarization method can yield corrosion rates,easy
Describe the major clinical differences between visceral and somatic pain,easy
Briefly describe the author's approach to the liabilities of the GOTO statement,easy
Describe what happened at...?,easy
Determine the authors point of view,easy
Determine the next number in a sequence,easy
Discuss the nature of socialism.,easy
Explain how Timothy saved Phillip's life.,easy
Explain in one's own words how to create a query in a database.,easy
Explain in your own words what a recessive gene is.,easy
Explain in your own words what do you mean by the term economics?,easy
Explain in your own words what is meant by mercantilism.,easy
Explain the causes of historical events,easy
Explain the communicative property.,easy
"Explain the double meaning the author attributes to the term ""successive action descriptions""",easy
Explain the possible uses described in class for the space to the left of the vertical line.,easy
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,easy
Explain what a poem means.,easy
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",easy
Express your opinion of 'Drugs in Sport' through poetry.,easy
From a blueprint to describe the article depicted.,easy
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",easy
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",easy
In one sentence explain the main idea of a written passage.,easy
Interpret the pictures.,easy
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,easy
Outline the most important insight of the tale.,easy
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,easy
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",easy
Paraphrase an important speech,easy
Paraphrase what Hamlet is saying in his soliloquy.,easy
Paraphrase the poem in your own words,easy
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",easy
Describe the output of this program fragment:,easy
Classify types of corrosion inhibitors  ,easy
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,easy
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",easy
"Classify the following substances as particle, atom, element, molecule, compound",easy
How would you classify the geographic location of your school,easy
Classify animals into two groups.,easy
Classify celebrations into family and community categories.,easy
Classify frogs toads and other amphibians.,easy
Restate main idea of story in own words.,easy
Restate the Olympic motto in your own words.,easy
Retell the story in your words.,easy
Rewrite the principles of test writing.,easy
Rewrite you predicted equation for the ideal gas law,easy
Rewrite the markov matrix to account for this slight change.,easy
"Rewrite the sentence in your head, following the direction given below",easy
Rewrite a part in the poem using a different speaker,easy
Select the best title for a passage,easy
State in your own words the rule for balls and strikes in baseball.,easy
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,easy
Apply laws of statistics to evaluate the reliability of a written test.,medium
Apply the rule of law to a new situation,medium
Apply the storytelling technique here to a little story of your own.,medium
Apply your understanding the Olympic spirit to develop a new motto or slogan.,medium
Show the value of x after running this program fragment,medium
Calculate for x in the following equation: 12x=36,medium
Calculate the deflection of a beam under uniform loading.,medium
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,medium
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,medium
Can you apply the method used to some experience of your own . . .?,medium
Can you group by characteristics such as . . .?,medium
Categorise the pictures and add them to the wall display.,medium
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,medium
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,medium
Compute the area of actual circles.,medium
Compute the volume of a cylinder,medium
Construct a model to demonstrate how it will work.,medium
Demonstrate how the seasons occur.,medium
Demonstrate how this could work in an industry setting?,medium
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,medium
Demonstrate how your units specific student learning outcomes are linked to the mission of UAM.,medium
Derive a kinetic model from experimental data.,medium
Describe an experiment to answer the question of the effects of weight on the fall of an object.,medium
Construct a market strategy for your product using a known strategy as a model.,medium
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,medium
"From the information given, can you develop a set of instructions about . . .?",medium
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,medium
How might lifestyles in the United States be modified if a more socialistic system were adopted?,medium
"If notes are available on the professors website, how should those notes be used?",medium
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",medium
Make a paper-mache map to include relevant information about an event.,medium
Make a scrapbook about the areas of study.,medium
Make up a puzzle game using the ideas from the study area.,medium
Model an Olympic Village for the new Millenium.,medium
Participate in a mock election,medium
Predict what happens to X if Y increases.,medium
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,medium
Relate the principle of reinforcement to classroom interactions.,medium
Relate topographic map to field features,medium
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,medium
How would you relate position concept with position strategy,medium
"Show, through role-play, the final scene in the novel.",medium
Solve a math problem using familiar procedure or formula,medium
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,medium
Would you solve these two problems using similar approaches,medium
Use Laplace to solve the following problems,medium
Can you solve the following problem ,medium
How to specify the impact energy and impact test temperature of the material in the Code,medium
How does one specify the syntactical restrictions,medium
Specify a deterministic finite automaton (DFA) recognizing the,medium
Take a collection of photographs to demonstrate a particular point.,medium
Use a costing model to compute prices on goods to maximise profits and minimise costs.,medium
Use a manual to calculate an employee's vacation time.,medium
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,medium
Use the rule for a semicolon in a sentence.,medium
Who can use what we know about sonnets and finish this poem?,medium
Would this information be useful if you had a . . .?,medium
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,medium
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,medium
Sketch a typical absorption process in a packed column with regeneration in form of,medium
sketch a graph of velocity versus time for the upward and downward parts of a balls flight,medium
Analyze safe and dangerous aspects of these features.,medium
Analyze the characteristics of frogs.,medium
Analyze the movements and sounds of a frog.,medium
"Analyze the problem, identifying its variables.",medium
Break down the components of a standard film camera and explain how they interact to make the machine work.,medium
Break down the main actions of the story.,medium
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",medium
Can you compare your . . . with that presented in . . .?,medium
Can you distinguish between . . .?,medium
Can you explain what must have happened when . . .?,medium
Can you find four different feelings Pa Lia had during the story?,medium
Compare and contrast animals that the class has made.,medium
Compare and contrast our school to other communities.,medium
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",medium
Compare and contrast the waterfall model with the prototyping model.,medium
Compare and contrast two characters in the book.,medium
Compare fall and spring,medium
Compare how different children come to school.,medium
Compare the place where the story happened with where you live.,medium
Compare this book to the last book you read.,medium
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,medium
Compare two of the characters in this book.,medium
Conduct an investigation to produce information to support a view.,medium
Contrast building in the coastal zone with building in a river floodplain.,medium
Contrast Olympic athletes of today with athletes of past Olympic games.,medium
Differentiate between .call by value and call by reference.,medium
Differentiate printf function calls for displaying prompts and for echoing data.,medium
Distinguish between micro and macro economics.,medium
Distinguish facts from hypotheses,medium
"Divide the story into initiating event, rising action, climax, and falling action",medium
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",medium
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",medium
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,medium
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",medium
How does your pet differ from other animals?,medium
How does...compare/contrast with...?,medium
How is . . . similar to . . .?,medium
How was life different in your town 100 years ago?,medium
How was this similar to . . .?,medium
How would this story be different if it had happened in a different country?,medium
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,medium
"If your story happened in a foreign land, compare that land to the United States.",medium
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",medium
Investigate innovations that can enhance future Olympics.,medium
Make a diagnosis or analyze a case study.,medium
Select the athlete of the century and analyze why you chose this person.,medium
"If interest were compounded monthly instead of daily, what would the difference in interest be?",medium
What are the parts or features of...?,medium
Distinguish between the following giving suitable examples,medium
Distinguish between abstract date types (ADTs) and implementations of ADTs,medium
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",medium
How does Tdap differ from Td vaccine,medium
How does autonomy differ with age,medium
In what ways do female offenders differ from male offenders,medium
in what ways trajectory patterns differ according to ABC,medium
How do psychologists differ in their general attitudes toward third party presence,medium
How did Chinese newspapers differ from US,medium
How does public health reporting differ today from reporting two years before,medium
How does an endorsement differ from a teaching certificate,medium
How do we differentiate between genuine buyer and undercover buyer,medium
How do we differentiate between an interview and an interrogation?,medium
Differentiate between the following terms along with appropriate examples,medium
Differentiate the following functions using the quotient rule,medium
Can you differentiate between ethnic Chinese and ethnic Koreans,medium
How would you differentiate obstructive apneas from central apneas,medium
How would you differentiate a project from a program,medium
How is scientific progress similar to Darwinian evolution according to Kuhn,medium
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",medium
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,hard
Can you create new and unusual uses for . . .?,hard
Can you design a . . . to . . .?,hard
Can you develop a proposal which would . . .?,hard
Can you invent another character for the story?,hard
Can you see a possible solution to . . .?,hard
Can you write a new recipe for a tasty dish?,hard
Choose a character. Rewrite a scene from the story from this character's point of view.,hard
Combine any two sports to develop a new Olympic sport.,hard
"Combine elements of drama, music, and dance into a stage presentation.",hard
Compose a class story.,hard
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,hard
Compose a rhythm or put new words to a known melody.,hard
Compose a simple rap or rhyme about zoo animals.,hard
Compose music for a frog play.,hard
Compose a complete C program that reads text strings from a text file into a suitable data,hard
Compose a device that would assist an athlete in their training.,hard
Compose an original work which incorporates five common materials in sculpture.,hard
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,hard
Create a chart that compares things that use electricity and things that do NOT use electricity.,hard
Create a new product. Give it a name and plan a marketing campaign.,hard
"Create a new song for the opening line of ""Mary had a little lamb"".",hard
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,hard
Create a storyboard for a sequel to your book. Use the same characters.,hard
Create an equation to represent the solution to this problem.,hard
Create and perform a play about frogs.,hard
Design a building according to given specifications,hard
design a cost effective strategy to generate reliable data.,hard
Design a machine to perform a specific task.,hard
Design a new animal to live in the jungle.,hard
Design a poster for this book.,hard
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,hard
Design and make an animal that moves.,hard
Design costumes for the characters.,hard
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,hard
Develop a hypothesis.,hard
Develop a plan for a new Olympic Bid System.,hard
Develop a SQA Plan for a software development project which is defined in the attached document.,hard
"Develop a way to teach the concept of ""adjectives"".",hard
Develop one plausible ending for all three short stories below.,hard
Devise a new economic system based on the ones that already exist.,hard
Devise plans to market or make artwork more valuable.,hard
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",hard
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,hard
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",hard
Given two opposing theories design an experiment to compare them.,hard
How could we determine the number of pennies in a jar without counting them?,hard
How could you re-write this story with a city setting?,hard
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",hard
How many ways can you . . .?,hard
How would the U.S.A. be different if the South had won the Civil War?,hard
How would you change the story to create a different ending?,hard
How would you create/design a new...?,hard
How would you restructure the school day to reflect children's developmental needs?,hard
Identify one problem in the book and give an alternate solution one not given by the author.,hard
If you had access to all resources how would you deal with . . .?,hard
Integrate training from several sources to solve a problem.,hard
Invent a machine to do a specific task.,hard
Justify your choice of data structure.,hard
Make a radio announcement that advertise the book. Write it out.,hard
Make up a new language code and write material using it.,hard
Name one character. Rewrite the story from this character's point of view.,hard
Organize this book into three or more sections and give your own subtitle for each section.,hard
Plan a research paper on a given historical topic,hard
Predict the differences of a planet with no seasonal changes.,hard
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,hard
Revise and process to improve the outcome.,hard
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",hard
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",hard
Appraise data in support of a hypothesis.,hard
Appraise the speech's effectiveness based upon the class' criteria.,hard
Are there students who should not use the Cornell method?,hard
Are you a . . . person?,hard
Assess the appropriateness of an author's conclusions based on the evidence given.,hard
Assess the importance of understanding seasonal patters.,hard
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,hard
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,hard
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",hard
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,hard
Can you defend your position about . . .?,hard
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),hard
Conclude and support which economic system leads to a higher standard of living.,hard
Construct a poster that will advertise your new food product in an exciting and irresistible way.,hard
Critique an experimental design or a research proposal.,hard
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",hard
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,hard
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,hard
Decide whether you learned enough about electricity from this book.,hard
Decide which candidate would best fill the position of principal.,hard
Decide which course of action was most effective,hard
Decide which method of solving a problem was most effective ,hard
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,hard
Defend your use of a specific strategy in solving the problem.,hard
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,hard
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,hard
Determine if a characters actions were heroic ,hard
Do you agree...?,hard
Do you think . . . is a good or a bad thing?,hard
Establish criteria for making this choice and defend your final selection.,hard
"Evaluate a work of art, giving the reasons for your evaluation.",hard
Evaluate appropriate and inappropriate actions of characters.,hard
Evaluate board games and justify why rules are important.,hard
Evaluate the corrosion monitoring needs of a chemical processing plant ,hard
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,hard
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,hard
Evaluate whether their model is a true representation of the local environment.,hard
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,hard
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,hard
Explain and justify a new budget.,hard
Explain choices made in making recommendations to an end user.,hard
"Given an argument on any position, enumerate the logical fallacies in that argument.",hard
"Given the data available on a research question, take a position and defend it.",hard
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",hard
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",hard
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",hard
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",hard
How effective are . . .?,hard
How would you decide about...?,hard
How would you feel if . . .?,hard
How would you have handled . . .?,hard
"improved, reformed or rejected?",hard
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",hard
Is there a better solution to . . .?,hard
udge aesthetic qualities and relationship to future values.,hard
judge the difficulty level for yourself.,hard
Judge the value of . . .?,hard
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,hard
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,hard
Justify and nominate ways to prevent animal extinction.,hard
Justify the title To Kill a Mockingbird .,hard
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,hard
Place the following in order of priority...,hard
Predict what will happen next in.,hard
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,hard
Recommend how our classroom or playground could be improved.,hard
State the rule for balls and strikes in baseball.,easy
State the rule for using a semicolon in a sentence.,easy
What are major facts about particular cultures and societies,easy
What are the major products and exports of countries,easy
What are the representational symbols on maps and charts,easy
What are the structure or functions of Congress,easy
What are the units of corrosion penetration rates? Relate these to Faraday's law,easy
What does ICT stands for,easy
What is  your family name,easy
What is a global variable?,easy
What is a textual index,easy
What is the setting of To Kill a Mockingbird?,easy
What is the title of the first movie you saw,easy
What season are we in right now?,easy
when did saudi arabia start using internet,easy
when did the first saudi radio station open,easy
When did the second world war happen ,easy
When did you born ?,easy
when was the first airport in the yemen built,easy
when was the UN formed,easy
Which of the following is the method for determining the volume of a cylinder?,easy
Which of the following item does not belong to the set ?,easy
Which of the two liquids is hypotonic,easy
which part of a data packet is used by a router to determine the destination network,easy
Which technology is used by laser printer,easy
Who is the first president   of USA,easy
who is the founder of the kingdom of saudi Arabia,easy
who was the first man on the moon,easy
who was the first to compose in the arts of makamat,easy
Who was the writer of the Hamilton,easy
Can you state in your own words what the problem is asking you to do,easy
State in your own words what the author means when he says,easy
Summarize a historical document,easy
Summarize a story in own words.,easy
Summarize Jems beliefs about Boo Radley,easy
Summarize the basic tenets of collaborative conservation.,easy
Summarize the basic tenets of deconstructionism.,easy
Summarize this magazine article.,easy
Tell how Phillip kept himself alive after Timothy died.,easy
Tell in your own words how the setting of the story made it more interesting.,easy
Tell in your own words the beginning of the book.,easy
"In your own words, tell what is meant by the definition of an isosceles triangle.",easy
"In your own words, how would you define transferable skills",easy
Translate a written text aloud from L2 to English.,easy
Translate an equation into a computer spreadsheet.,easy
Translate an equation into a spreadsheet formula.,easy
Translate the following passage from The Iliad into English.,easy
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",easy
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",easy
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,easy
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,easy
Express the rule in function notation,easy
Express the following systems in matrix form,easy
Express the following percentages as fractions in simplest form,easy
Explain the whole method of crushing,easy
"In your own words, how would you summarize the story up",easy
Summarize the main point of these two texts in your own words,easy
Outline the aim of two studies within the,easy
Outline your experience in working with service users,easy
How do teenagers use code in emails and instant messages?,medium
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,medium
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,medium
Use tableau methods to prove that the following tableau is valid.,medium
Use a sketch too find the exact value of each expression,medium
Use Gauss Law to find the electric field between the plates when the charge on them is Q,medium
What happens if you restrict a determinental process to a subset R  S? ,medium
What would happen if the rainfall doubled in your state next year,medium
What happens if you change the direction of the displacement (but not its size)?,medium
What would you do if a heavy growth of bacteria had occurred,medium
What would result if ,medium
What approach would you use to prove the truth of the below statement,medium
Construct one Turing Machine for computing each of the following functions,medium
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,medium
"How can we construct H given I, B and E?",medium
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,medium
How do you construct foliations on a given manifold M?,medium
How to Construct the Optimal Maintenance Problem,medium
How to construct simple solutions when problems are complex?,medium
Construct the 4-Bit Ripple carry Adder Circuit,medium
Construct an analog circuit with the following specifications,medium
Construct the Data Path of the RISC Processor given in the previous question,medium
How do we construct agents that can deliver. good assistance,medium
How to construct the selected information system,medium
Show how they have used creative writing strategies appropriate to the format,medium
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,medium
Show how E-CRM can be used to improve marketing positioning as explained in the article,medium
How would you show your understanding of the ABC process,medium
Show me how you would check the brake lights are working on this car,medium
In what ways are foxes similar to wolves and dogs,medium
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,medium
Examine the data in the EMPLOYEES and DEPARTMENTS tables,medium
Examine the differences between the model excluding the most influential observation and the model including all observations.,medium
Critically examine the strengths and weaknesses of the positivist paradigm,medium
Examine differences between the means of each individual switching factor.,medium
Examine carefully the given map extract on the following page to help you work out the exercise below.,medium
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",medium
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,medium
Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,medium
Can you distinguish aged rums from unaged rums by smell,medium
Can you distinguish pot still rums from column still rums by taste,medium
Inspect the pattern of GPS positions relative to the known published value,medium
How does your agency inspect against its expectation for operators,medium
How to inspect and maintain fresh water plumbing systems properly,medium
Can you analyze the fractures and determine which should be repaired surgically,medium
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,medium
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",medium
How do you analyze a marginally RCT,medium
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",medium
Contrast the Valles Marineris on Mars with the Grand Canyon,medium
How does Hawaii contrast and compare to Florida?,medium
Investigate whether or not the system can be solved for x; y; z ,medium
Investigate (pointwise) convergence and absolute convergence of the given series of functions,medium
How would you investigate this patient,medium
How would you investigate this abnormality,medium
What can I do to investigate this problem further,medium
how the investigation was undertaken,medium
How would you differentiate between heterodox and mainstream,medium
"How do I differentiate between ""deceive"" and ""cheat on""?",medium
Revise how to complete a complex task in order to improve the outcome.,hard
Revises and process to improve the outcome.,hard
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",hard
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,hard
"Using information from the book about one of the main characters, rewrite the ending of the book.",hard
What ideas can you add to...?,hard
What might happen if you combined...?,hard
What solutions would you suggest for...?,hard
What would happen if . . .?,hard
What would you predict/infer from...?,hard
Why dont you devise your own way to deal with . . .?,hard
Why not compose a song about . . .?,hard
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",hard
Write a letter to the editor on a social issue of concern to you.,hard
Write a logically organized argument in favor of a given position.,hard
Write a poem about this book.,hard
Write a set of rules to prevent what happened in the story.,hard
Write a short story relating a personal experience in the style of a picaresque novel.,hard
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,hard
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,hard
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,hard
How can we combine and abstract facts about a software system to create new knowledge?,hard
How to combine virtual symmetry and symbolic model checking effectively,hard
How do we efficiently combine multiple subject graphs to construct an aig with choice,hard
how do we devise a way to enforce the laws,hard
can you devise an explicit formula for,hard
Do you devise a systematic approach in order to get larger progressions,hard
Develop and execute a program for this exercise,hard
Develop a network based on the following information: Activity Immediate predecessors,hard
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,hard
Select the best proposal for a proposed water treatment plant.,hard
Select the most effective solution.,hard
suggest ways in which it could have responded more effectively,hard
decide about the most exciting part of the book. being sure to give at least three reasons why?,hard
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,hard
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger. ",hard
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",hard
Was Hemingway a great American writer? First you will need to define greatness.,hard
What changes to . . . would you recommend?,hard
What criteria would you use to assess the validity of a business contract?,hard
What criteria would you use to assess...?,hard
What do you think about . . .?,hard
What is part of this book did you like best. Tell why you like it?,hard
What is the most important...?,hard
Which of the following actions would probably be least effective in determining the answer?,hard
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",hard
Would you have liked to have had Cinderella for a sister? Explain why or why not.,hard
Write a list of criteria to judge the Willy raps.,hard
Revise the story and specify the type of audience that would enjoy this book.,hard
Estimate the epicentral coordinates of the earth-quake,hard
Estimate the risk of serious illness for consumers in different susceptible population groups,hard
Estimate expenditure on HIV/AIDS education,hard
Estimate the difficulty of the question,hard
Estimate roughly how long the collision process takes,hard
What do you think is the best thing about coming to Viestal?,hard
What do you think is the mass and why,hard
What do you think are the strengths of using integrated math in your program?,hard
Do you think that this statement conveys the idea that i am trying to portray,hard
How do you think the community should grow or change,hard
How Do You Think One Should Reason in Making Ethical Decisions in Business,hard
Can you tell me about the stages of grief according to Elisabeth Kübler-Ross?,easy
An infinitely long plane uniform plate is bounded by two parallel edges in the y direction and an end at right angles to them.,medium
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,easy
Write short notes on the structure of RNA. ,easy
A PIC 18 is connected to the 4MHz crystal oscillator.,medium
What are the file access methods?,easy
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",hard
A fair coin is tossed 64 times.,medium
What do you mean by Widmanstatten Structure?,easy
Design a spring for a balance to measure 0 to 1000 N over a scale of length 80 mm.,medium
Give the specifications and applications of SCR.,easy
Causes of Gear Tooth Failure explain in detail.,medium
Describe the types of vibrators used for compaction of concrete.,easy
What are the causes of an earthquakes.,easy
What is Biomass?,easy
Explain the use of for loop with syntax and suitable programming example in Java.,easy
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",easy
Differentiate between Convective and local Accelerations.,medium
List FIVE (5) basic types of research.,easy
Give the mechanism of nitration of benzene.,medium
What is the significance of coating on the material properties?,easy
