priority,lecture,lecture_title,question_number,question_text,options,answer,total_questions_in_lecture
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,51,Which of the following normal forms is based on the concept of functional dependency?,A. 1NF | B. 2NF | C. 3NF | D. BCNF,,93
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,62,"Consider the following relation: R(A, C, E, G, I, K, L, N, P, Q) With the following set of functional dependencies: { ACE, AGI, CK, K → LN, GPQ } Question: Identify the candidate key(s) in relation R",A. A | B. G | C. C | D. AC,A,93
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,65,Which of the following statements about rooms in a university description are true? (Select one or more),"A. The type of the rooms could be represented using subclasses | B. The type of the rooms could be represented as an attribute | C. There are only strong entities in this description | D. If building is an entity, room will be a weak entity",A,93
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,66,University rooms description: lecture halls and laboratories—both have capacity and number of resources; located in buildings (e,"A. The type of the rooms could be represented using subclasses | B. The type of the rooms could be represented as an attribute | C. There are only strong entities in this description | D. If building is an entity, room will be a weak entity",A,93
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,2,Which security objective ensures that information should not be disclosed to unauthorized users?,A. Integrity | B. Availability | C. Secrecy | D. Authentication,C,72
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,8,What is authentication in SQL Server security?,A. Granting permissions to users | B. Verifying the identities of users trying to connect C) Creating user accounts | D) Monitoring user activities,B,72
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,26,"Which fixed server role can create, alter, drop, and restore databases?",A. sysadmin | B. dbcreator | C. databaseadmin | D. serveradmin,B,72
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,35,Which fixed database role can perform all configuration and maintenance activities on the database?,A. db_admin | B. db_owner | C. db_maintainer | D. db_sysadmin,B,72
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,48,"When creating a SQL Server Authentication login, you can specify: (Select all that apply)",A. Password | B. MUST_CHANGE - force password change on first login | C. CHECK_EXPIRATION - enable password expiration | D. CHECK_POLICY - enforce password policy,,72
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,51,Permissions that can be granted on database objects include: (Select all that apply),A. SELECT - read data | B. INSERT - add data | C. UPDATE - modify data | D. DELETE - remove data,,72
3,8.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,52,Server-level permissions include: (Select all that apply),A. CREATE ANY DATABASE | B. ALTER ANY LOGIN | C. SELECT - read tables | D. SHUTDOWN - stop server,,72
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,3,"Given a view created as: CREATE VIEW dept_summary AS SELECT deptId, COUNT(*) as empCount, AVG(salary) as avgSalary FROM Employee GROUP BY deptId; Can you execute: UPDATE dept_summary SET avgSalary = 50000 WHERE deptId = 10;? (or D if trigger exists)","A. Yes, it updates the average salary | B. No, views with aggregate functions are not updateable | C. Yes, but it updates all employee salaries | D. Yes, but only if there's an INSTEAD OF trigger",B,57
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,15,"Given a procedure: CREATE PROCEDURE calcStats(@deptId INT, @maxSal FLOAT OUTPUT, @minSal FLOAT OUTPUT) AS BEGIN SELECT @maxSal=MAX(salary), @minSal=MIN(salary) FROM Employee WHERE deptId=@deptId END Which call is CORRECT?","A. EXEC calcStats 10, @max, @min; | B. DECLARE @max FLOAT, @min FLOAT; EXEC calcStats 10, @max OUTPUT, @min OUTPUT; | C. SELECT calcStats(10, @max, @min); | D. CALL calcStats(10, @max, @min);",B,57
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,22,Can AFTER triggers be defined on views?,"A. Yes, on any view | B. No, AFTER triggers cannot be defined on views | C. Only on updateable views | D. Only with special permissions",B,57
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,26,Which trigger is better for implementing validation logic?,A. AFTER trigger with ROLLBACK if validation fails | B. INSTEAD OF trigger that only executes DML if validation passes | C. Both are equally good | D. Neither - use CHECK constraints,B,57
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,28,What happens if a trigger raises an error?,"A. Error is ignored, operation continues | B. Trigger code stops, but DML operation completes | C. Entire transaction is rolled back (for AFTER triggers) | D. Only the trigger is rolled back",C,57
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,46,"Scenario: HR system - Employee(eid, name, salary, deptId), Department(deptId, name, budget)",A. Transaction management | B. Business rule enforcement in stored procedures | C. OUTPUT parameter usage | D. All of the above,D,57
4,5.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,54,"Consider the following table definition: CREATE TABLE Product ( pid CHAR(4) PRIMARY KEY, pname VARCHAR(30), manufactureDate DATETIME DEFAULT GETDATE(), qty INT, CONSTRAINT pid_chk CHECK (pid LIKE 'P|S|T[0-5][0-5]|10-5|10-577'), CONSTRAINT qty_chk CHECK (qty > 0) ); Which of the following statements are TRUE related to the above definition? (Select one or more)",A. Consider a product with a quantity (qty) of 10 | B. T12 is a valid pid that could be stored in the Product table | C. P333 is a valid pid that could be stored in the Product table | D. Executing the following insert statement will cause an error:,A,57
